instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,instrument_category
67329,263,ATUL,ATUL,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
69121,270,CHEMCON,CHEMCON SPECIAL CHEM,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
70401,275,AUROPHARMA,AUROBINDO PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
70913,277,GICRE,GENERAL INS CORP OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
71169,278,AUTOAXLES,AUTOMOTIVE AXLES,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0.0,,0.0,1.0,1,EQ,NSE,NSE,EQUITY_STOCKS
78849,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
79873,312,TIINDIA,TUBE INVEST OF INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
81153,317,BAJFINANCE,BAJAJ FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
82945,324,ANGELONE,ANGEL ONE,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
85505,334,VALIANTORG-BE,VALIANT ORGANICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
85761,335,BALKRISIND,BALKRISHNA IND.,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
86529,338,BALMLAWRIE,BALMER LAWRIE & CO,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
87553,342,CAMS,COMPUTER AGE MNGT SER,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
88833,347,BANARBEADS,BANARAS BEADS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
89601,350,BANARISUG,BANNARI AMMAN SUGARS,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
91393,357,NAM-INDIA,NIPPON L I A M,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
93697,366,ROML-BE,RAJ OIL MILLS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
94209,368,BASF,BASF INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
94977,371,BATAINDIA,BATA INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
97281,380,BBTC,BOMBAY BURMAH TRADING COR,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
97537,381,SINTERCOM,SINTERCOM INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
98049,383,BEL,BHARAT ELECTRONICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
98561,385,MAHLOG,MAHINDRA LOGISTIC,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
100609,393,GLOBE,GLOBE TEXTILES (I),0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
101121,395,BEML,BEML,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
102145,399,NIACL,THE NEW INDIA ASSU CO,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
103425,404,BERGEPAINT,BERGER PAINTS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
107265,419,BEPL,BHANSALI ENG. POLYMERS LT,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
108033,422,BHARATFORG,BHARAT FORGE,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
108801,425,KHADIM,KHADIM INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
109057,426,BHARATGEAR,BHARAT GEARS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
111617,436,IFGLEXPOR,IFGL REFRACTORIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
112129,438,BHEL,BHEL,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
113921,445,5PAISA,5PAISA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
119553,467,HDFCLIFE,HDFC LIFE INS CO,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
120577,471,OSWALGREEN,OSWAL GREENTECH,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
121345,474,3MINDIA,3M INDIA,0.0,,0.0,5.0,1,EQ,NSE,NSE,EQUITY_STOCKS
122881,480,BIRLACORPN,BIRLA CORPORATION,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
123393,482,AISL-SM,ANI INTEGRATED SERV,0.0,,0.0,0.05,600,EQ,NSE,NSE,EQUITY_STOCKS
125185,489,ICEMAKE,ICE MAKE REFRIGERAT,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
126721,495,BLUEDART,BLUE DART EXPRESS,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
129793,507,PULZ-SM,PULZ ELECTRONICS,0.0,,0.0,0.05,2000,EQ,NSE,NSE,EQUITY_STOCKS
130305,509,MAZDOCK,MAZAGON DOCK SHIPBUIL,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
131329,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
133633,522,ICICIB22,ICICIPRAMC - BHARATIWIN,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
134913,527,UTIAMC,UTI ASSET MNGMT CO,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
135681,530,BPL,BPL,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
147457,576,FELIX-ST,FELIX INDUSTRIES,0.0,,0.0,0.05,500,EQ,NSE,NSE,EQUITY_STOCKS
147969,578,LIKHITHA,LIKHITHA INFRASTRUC,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
149249,583,CANFINHOME,CAN FIN HOMES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
151553,592,GRAPHITE,GRAPHITE INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
152321,595,CARBORUNIV,CARBORUNDUM UNIVERSAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
158465,619,CENTENKA,CENTURY ENKA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
160001,625,ABREL,ADITYA BIRLA REAL EST,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
160769,628,CESC,CESC,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
162305,634,IGARASHI,IGARASHI MOTORS INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
164097,641,DNAMEDIA,DILIGENT MEDIA CORP,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
173057,676,EXIDEIND,EXIDE INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
177665,694,CIPLA,CIPLA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
179457,701,HEMIPROP,HEMISPHERE PROP IND,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
179969,703,DICIND,DIC INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
181249,708,SHRADHA,SHRADHA INFRAPROJECTS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
182785,714,SHALBY,SHALBY,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
183041,715,HEUBACHIND,HEUBACH COLORANTS IND,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
184833,722,SBIETFPB,SBIAMC - SBIETFPB,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
189185,739,COROMANDEL,COROMANDEL INTERNTL.,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
189441,740,SBIETFIT,SBIAMC - SBIETFIT,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
189953,742,COSMOFIRST,COSMO FIRST,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
193793,757,CRISIL,CRISIL,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
194561,760,CGPOWER,CG POWER AND IND SOL,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
197633,772,DABUR,DABUR INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
199937,781,DALMIASUG,DALMIA BHARAT SUG IN,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
205825,804,SHIVATEX,SHIVA TEXYARN,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
206081,805,DCM,DCM,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
207105,809,BSHSL,BOMBAY SUPER HYBRID SEEDS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
207617,811,DCMSHRIRAM,DCM SHRIRAM,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
209153,817,DCW,DCW,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
210433,822,BANKA,BANKA BIOLOO,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
211713,827,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
217601,850,SMVD-ST,SMVD POLY PACK,0.0,,0.0,0.05,4040,EQ,NSE,NSE,EQUITY_STOCKS
219393,857,DHAMPURSUG,DHAMPUR SUGAR MILLS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
223745,874,ASTRON,ASTRON PAPER BORD MIL,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
225537,881,DRREDDY,DR. REDDY S LABORATORIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
230913,902,KHAICHEM-BE,KHAITAN CHEM & FERT,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
232961,910,EICHERMOT,EICHER MOTORS,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
233729,913,EQUITASBNK,EQUITAS SMALL FIN BNK,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
234497,916,EIDPARRY,EID PARRY INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
235265,919,EIHOTEL,EIH - OBEROI HOTELS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
237057,926,ORCHPHARMA,ORCHID PHARMA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
237569,928,ELECTCAST,ELECTROSTEEL CASTINGS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
239617,936,DPABHUSHAN,D. P. ABHUSHAN,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
239873,937,ELGIEQUIP,ELGI EQUIPMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
240641,940,PGHL,PROCTER & GAMBLE HEALTH L,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
243969,953,622GS2035-GS,GOI LOAN  6.22% 2035,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
244481,955,ESABINDIA,ESAB INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
244737,956,667GS2050-GS,GOI LOAN  6.67% 2050,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
245249,958,ESCORTS,ESCORTS KUBOTA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
245505,959,SUBEXLTD-BE,SUBEX,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
251137,981,EPL,EPL,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
255745,999,EUROTEXIND,EUROTEX INDUSTRIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
258049,1008,FACT,FACT,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
258817,1011,SCHAEFFLER,SCHAEFFLER INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
261889,1023,FEDERALBNK,FEDERAL BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
263681,1030,AARON,AARON INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
265729,1038,FINCABLES,FINOLEX CABLES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
266497,1041,FINPIPE,FINOLEX INDUSTRIES,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
267265,1044,AXISBNKETF,AXISAMC - AXISBNKETF,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
269569,1053,UFLEX,UFLEX,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
269825,1054,515GS2025-GS,GOI LOAN  5.15% 2025,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
274689,1073,FOSECOIND,FOSECO INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
275457,1076,ZENSARTECH,ZENSAR TECHNOLOGIES ,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
277761,1085,GABRIEL,GABRIEL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
281601,1100,GARFIBRES,GARWARE TECH FIBRES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
285697,1116,DANGEE-BE,DANGEE DUMS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
288513,1127,GHCL,GHCL,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
290305,1134,APOLLO,APOLLO MICRO SYSTEMS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
290561,1135,GTECJAINX-BE,G-TEC JAINX EDUCATION,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
291585,1139,GICHSGFIN,GIC HOUSING FINANCE,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
293121,1145,GIPCL,GUJ IND POW CO.,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
295169,1153,GLAXO,GLAXOSMITHKLINE PHARMA LT,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
297473,1162,GTL,GTL,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
297985,1164,NEWGEN,NEWGEN SOFTWARE TECH,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
299009,1168,GMBREW,G M BREWERIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
300545,1174,GNFC,GUJ NAR VAL FER & CHEM L,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
302337,1181,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
303361,1185,AMBER,AMBER ENTERPRISES (I),0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
303617,1186,GLAND,GLAND PHARMA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
304641,1190,FMGOETZE,FEDERAL-MOGUL GOETZE (IND,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
306177,1196,KANSAINER,KANSAI NEROLAC PAINTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
307201,1200,ESG,MIRAEAMC - MAESGETF,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
311297,1216,PRAXIS-BE,PRAXIS HOME RETAIL,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
315393,1232,GRASIM,GRASIM INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
315905,1234,SOLEX-ST,SOLEX ENERGY,0.0,,0.0,0.05,125,EQ,NSE,NSE,EQUITY_STOCKS
316161,1235,GREAVESCOT,GREAVES COTTON,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
319233,1247,GSFC,GUJ STATE FERT & CHEM,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
320001,1250,CASTROLIND,CASTROL INDIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
324353,1267,GUJALKALI,GUJARAT ALKALIES & CHEM,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
325121,1270,AMBUJACEM,AMBUJA CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
326145,1274,VASA-SM,VASA RETAIL & OVERSEA,0.0,,0.0,0.05,4000,EQ,NSE,NSE,EQUITY_STOCKS
329985,1289,GFLLIMITED,GFL,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
336129,1313,HARRMALAYA,HARRISON MALAYALAM,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
336641,1315,GALAXYSURF,GALAXY SURFACTANTS,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
341249,1333,HDFCBANK,HDFC BANK,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
341505,1334,MARINE-BE,MARINE ELECTRICAL (I),0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
342017,1336,HEG,HEG,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
342529,1338,SDBL,SOM DIST & BREW,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
343297,1341,585GS2030-GS,GOI LOAN  5.85% 2030,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
345089,1348,HEROMOTOCO,HERO MOTOCORP,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
346369,1353,AMJUMBO-SM,A AND M JUMBO BAGS,0.0,,0.0,0.05,8000,EQ,NSE,NSE,EQUITY_STOCKS
348161,1360,HIMATSEIDE,HIMATSINGKA SEIDE,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
351233,1372,HINDCOMPOS,HINDUSTAN COMPOSITES,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
359169,1403,HINDOILEXP,HINDUSTAN OIL EXPLORATION,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
359937,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
361473,1412,AGI,AGI GREENPAC,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
362753,1417,GLOBAL-BE,GLOBAL EDUCATION,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
364545,1424,HINDZINC,HINDUSTAN ZINC,0.0,,0.0,0.05,1,EQ,NSE,NSE,EQUITY_STOCKS
365057,1426,MHHL-SM,MOHINI HEALTH&HYGIENE,0.0,,0.0,0.05,1500,EQ,NSE,NSE,EQUITY_STOCKS
369153,1442,SANOFI,SANOFI INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE,EQUITY_STOCKS
370689,1448,HLVLTD,HLV,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
372481,1455,BIRLANU,BIRLANU,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
375041,1465,ACCURACY,ACCURACY SHIPPING,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
375553,1467,AKZOINDIA,AKZO NOBEL INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
377857,1476,IDBI,IDBI BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
378881,1480,REPL,RUDRABHISHEK ENTERP,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
380161,1485,IFBIND,IFB INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,EQUITY_STOCKS
381697,1491,IFCI,IFCI,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
382465,1494,RBA,RESTAURANT BRAND ASIA,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
383233,1497,SHIVAMILLS,SHIVA MILLS,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
385793,1507,MOGSEC,MOTILALAMC - G5,0.0,,0.0,0.01,1,EQ,NSE,NSE,EQUITY_STOCKS
